Date,Service,nbTable,nbCustomer,TotalPrice
2018-06-01,Lunch,6,13,310.1553626954457
2018-06-01,Lunch,2,18,524.7439079053858
2018-06-01,Lunch,28,22,549.0820084163282
2018-06-01,Lunch,37,9,144.2438247603874
2018-06-01,Dinner,30,17,595.0
2018-06-01,Dinner,33,22,770.0
2018-06-01,Dinner,35,25,875.0
2018-06-02,Lunch,20,18,410.6458745037235
2018-06-02,Lunch,15,20,539.643723138921
2018-06-02,Lunch,28,4,83.70140543947767
2018-06-02,Lunch,31,9,208.13474459271572
2018-06-02,Lunch,1,16,428.3880943275683
2018-06-02,Dinner,5,15,444.09227739843317
2018-06-02,Dinner,16,3,61.3268506645934
2018-06-02,Dinner,2,6,129.6377039140066
2018-06-02,Dinner,33,5,103.67476892313195
2018-06-02,Dinner,16,1,27.48511921871968
2018-06-02,Dinner,4,7,202.44834791472354
2018-06-02,Dinner,13,17,368.7153691471751
2018-06-03,Lunch,40,22,235.97097901213874
2018-06-03,Lunch,40,19,536.4238668552056
2018-06-03,Lunch,18,18,533.1502523332753
2018-06-03,Lunch,15,10,294.8920391428462
2018-06-05,Lunch,40,25,747.2407511627055
2018-06-05,Lunch,10,24,365.623086744185
2018-06-05,Lunch,37,6,177.22647487450485
2018-06-05,Lunch,18,4,41.99288794084784
2018-06-05,Lunch,39,1,28.9973966116841
2018-06-06,Lunch,3,3,39.827500818416766
2018-06-06,Lunch,14,25,571.4698152946094
2018-06-06,Lunch,29,20,381.9704160772245
2018-06-06,Lunch,5,16,453.52423522845197
2018-06-07,Lunch,19,24,614.5765010234302
2018-06-07,Lunch,4,12,306.40610903352086
2018-06-07,Lunch,32,11,156.30385728845093
2018-06-07,Lunch,27,2,21.54812325582377
2018-06-07,Lunch,10,21,323.78942824921745
2018-06-07,Dinner,14,25,575.4475054705955
2018-06-07,Dinner,38,3,89.66160202499458
2018-06-07,Dinner,11,18,430.2683999871424
2018-06-08,Lunch,9,20,233.42931139574617
2018-06-08,Lunch,34,11,302.0502036418223
2018-06-08,Lunch,36,23,573.7774315340242
2018-06-08,Lunch,13,14,243.9072389069695
2018-06-08,Dinner,1,22,482.50966360602825
2018-06-08,Dinner,19,7,130.74413929636333
2018-06-08,Dinner,13,13,301.87263710934013
2018-06-08,Dinner,19,25,298.2747992253906
2018-06-09,Lunch,23,22,443.9233253814969
2018-06-09,Lunch,2,20,268.35087430075
2018-06-09,Lunch,23,13,308.1860610426048
2018-06-09,Lunch,25,3,66.4933668850021
2018-06-09,Lunch,8,9,136.76448272681745
2018-06-09,Dinner,13,14,240.74317964905836
2018-06-09,Dinner,1,16,462.59655341006817
2018-06-09,Dinner,3,3,32.71909030737126
2018-06-09,Dinner,3,15,408.6790677611027
2018-06-09,Dinner,40,10,110.63815424227074
2018-06-10,Lunch,13,15,310.00962247789846
2018-06-10,Lunch,12,4,116.98378258105706
2018-06-10,Lunch,19,18,340.09080820899055
2018-06-10,Lunch,23,25,654.1857246654484
2018-06-12,Lunch,34,7,135.3275927127797
2018-06-12,Lunch,40,4,61.822676946078815
2018-06-12,Lunch,4,7,140.23053433300348
2018-06-12,Lunch,13,17,464.05601581324794
2018-06-12,Lunch,5,16,435.3775360843122
2018-06-12,Lunch,33,14,361.94887773873967
2018-06-12,Lunch,13,5,141.9458884825801
2018-06-13,Lunch,4,14,167.89157942765226
2018-06-13,Lunch,2,15,321.40307247336705
2018-06-13,Lunch,3,15,449.4604216042827
2018-06-13,Lunch,29,17,190.90697812914976
2018-06-13,Lunch,26,6,90.33148369452412
2018-06-14,Lunch,37,12,300.99431647307796
2018-06-14,Lunch,38,22,626.3975944003432
2018-06-14,Lunch,39,24,286.8240672525652
2018-06-14,Lunch,29,3,44.6872448814701
2018-06-14,Lunch,28,1,19.423848045451386
2018-06-14,Dinner,23,7,184.91062382149514
2018-06-14,Dinner,3,13,244.9960092591057
2018-06-14,Dinner,5,8,139.58468933907568
2018-06-14,Dinner,22,16,197.64597843748044
2018-06-14,Dinner,6,15,320.5235471238202
2018-06-15,Lunch,7,1,15.945439478942019
2018-06-15,Lunch,28,4,102.09739436212442
2018-06-15,Lunch,26,14,187.53724997840987
2018-06-15,Lunch,34,22,484.9933944997575
2018-06-15,Lunch,16,19,244.7455906606488
2018-06-15,Dinner,8,5,139.70012806125646
