Date,Service,nbTable,nbCustomer,TotalPrice
2019-02-01,Lunch,27,11,183.0841753778483
2019-02-01,Lunch,30,25,441.5452523163051
2019-02-01,Lunch,38,17,186.54980858218192
2019-02-01,Lunch,8,7,70.35386614573805
2019-02-01,Lunch,18,7,66.57998939741883
2019-02-01,Dinner,3,23,805.0
2019-02-01,Dinner,32,21,735.0
2019-02-01,Dinner,36,21,735.0
2019-02-01,Dinner,39,4,140.0
2019-02-02,Lunch,37,12,163.15108458258032
2019-02-02,Lunch,36,8,149.75968956830093
2019-02-02,Lunch,13,11,201.97088080710046
2019-02-02,Lunch,28,25,732.5164234235863
2019-02-02,Lunch,27,6,77.35222489876128
2019-02-02,Dinner,16,5,78.10063675068116
2019-02-02,Dinner,14,14,145.5662511381273
2019-02-02,Dinner,38,20,551.066697045396
2019-02-02,Dinner,23,17,427.45152867432694
2019-02-03,Lunch,23,19,564.4076223234954
2019-02-03,Lunch,24,4,85.51133818368194
2019-02-03,Lunch,3,17,253.88441518509453
2019-02-03,Lunch,20,8,161.430829420907
2019-02-03,Lunch,27,9,225.23215093775613
2019-02-05,Lunch,15,20,339.1022411757865
2019-02-05,Lunch,33,18,179.53474921975055
2019-02-05,Lunch,2,4,63.11654879906534
2019-02-05,Lunch,19,5,88.03548154730096
2019-02-05,Lunch,7,17,314.48763511335943
2019-02-05,Lunch,1,3,83.55419415068536
2019-02-06,Lunch,25,22,328.96862210251606
2019-02-06,Lunch,25,15,263.43168492070896
2019-02-06,Lunch,34,23,527.3537972710965
2019-02-07,Lunch,37,10,145.43978963232416
2019-02-07,Lunch,13,13,356.1585979719042
2019-02-07,Lunch,4,24,681.613562857961
2019-02-07,Lunch,31,13,209.47302934793925
2019-02-07,Lunch,8,1,29.717312636161935
2019-02-07,Dinner,7,13,137.076403193763
2019-02-07,Dinner,20,5,77.07755208917739
2019-02-07,Dinner,16,20,364.1990469935322
2019-02-07,Dinner,36,6,170.08468982975018
2019-02-07,Dinner,5,13,219.1950778983428
2019-02-08,Lunch,30,15,365.79346900260225
2019-02-08,Lunch,35,21,587.3146299554319
2019-02-08,Lunch,26,24,684.2986699582086
2019-02-08,Lunch,23,6,124.14694193216206
2019-02-08,Dinner,13,24,379.6607115716767
2019-02-08,Dinner,12,17,488.5722965311655
2019-02-08,Dinner,16,4,99.22971476929658
2019-02-08,Dinner,13,5,124.83290545984002
2019-02-09,Lunch,8,7,179.46236221227838
2019-02-09,Lunch,12,10,219.80623078845312
2019-02-09,Lunch,6,6,168.57565708022474
2019-02-09,Lunch,14,14,385.68512155067805
2019-02-09,Lunch,1,7,205.1972592396831
2019-02-09,Lunch,22,11,136.108978297517
2019-02-09,Lunch,10,8,187.6745448178571
2019-02-09,Dinner,16,1,28.492765479911867
2019-02-09,Dinner,40,5,108.9947964064953
2019-02-09,Dinner,5,23,661.780539397705
2019-02-09,Dinner,7,21,397.98814702832414
2019-02-09,Dinner,3,3,76.20876199242882
2019-02-09,Dinner,40,14,233.33870055393947
2019-02-10,Lunch,40,3,44.346696013485214
2019-02-10,Lunch,31,19,235.4789614347149
2019-02-10,Lunch,27,2,59.53363740071626
2019-02-10,Lunch,14,13,318.08789369258983
2019-02-10,Lunch,5,14,175.91468379240766
2019-02-10,Lunch,11,14,403.082890290209
2019-02-10,Lunch,27,4,44.31108188309468
2019-02-12,Lunch,5,25,330.2970804701795
2019-02-12,Lunch,11,18,401.1348134886107
2019-02-12,Lunch,8,19,424.0507021734618
2019-02-12,Lunch,37,1,9.669718391883288
